part_name,date,demand,lead_time
Battery Pack,2021-03-17,702,15
Battery Pack,2021-03-18,655,14
Battery Pack,2021-03-19,626,14
Battery Pack,2021-03-20,607,12
Battery Pack,2021-03-21,494,13
Battery Pack,2021-03-22,606,11
Battery Pack,2021-03-23,629,14
Battery Pack,2021-03-24,681,12
Battery Pack,2021-03-25,579,12
Battery Pack,2021-03-26,564,14
Battery Pack,2021-03-27,552,17
Battery Pack,2021-03-28,627,16
Battery Pack,2021-03-29,633,11
Battery Pack,2021-03-30,598,12
Battery Pack,2021-03-31,659,16
Battery Pack,2021-04-01,648,12
Battery Pack,2021-04-02,701,14
Battery Pack,2021-04-03,598,15
Battery Pack,2021-04-04,627,12
Battery Pack,2021-04-05,663,14
Battery Pack,2021-04-06,618,11
Battery Pack,2021-04-07,712,13
Battery Pack,2021-04-08,715,15
Battery Pack,2021-04-09,705,11
Battery Pack,2021-04-10,664,15
Battery Pack,2021-04-11,603,14
Battery Pack,2021-04-12,679,15
Battery Pack,2021-04-13,678,14
Battery Pack,2021-04-14,647,17
Battery Pack,2021-04-15,670,14
Battery Pack,2021-04-16,689,13
Battery Pack,2021-04-17,722,14
Battery Pack,2021-04-18,626,15
Battery Pack,2021-04-19,649,14
Battery Pack,2021-04-20,622,14
Battery Pack,2021-04-21,521,13
Battery Pack,2021-04-22,608,13
Battery Pack,2021-04-23,606,11
Battery Pack,2021-04-24,692,17
Battery Pack,2021-04-25,557,12
Battery Pack,2021-04-26,611,13
Battery Pack,2021-04-27,597,13
Battery Pack,2021-04-28,544,16
Battery Pack,2021-04-29,665,13
Battery Pack,2021-04-30,652,16
Battery Pack,2021-05-01,632,13
Battery Pack,2021-05-02,556,15
Battery Pack,2021-05-03,711,12
Battery Pack,2021-05-04,579,18
Battery Pack,2021-05-05,687,12
Battery Pack,2021-05-06,775,15
Battery Pack,2021-05-07,622,15
Battery Pack,2021-05-08,617,15
Battery Pack,2021-05-09,653,14
Battery Pack,2021-05-10,653,14
Battery Pack,2021-05-11,599,14
Battery Pack,2021-05-12,676,14
Battery Pack,2021-05-13,613,16
Battery Pack,2021-05-14,682,18
Battery Pack,2021-05-15,573,13
Battery Pack,2021-05-16,686,11
Battery Pack,2021-05-17,588,14
Battery Pack,2021-05-18,599,19
Battery Pack,2021-05-19,644,12
Battery Pack,2021-05-20,530,17
Battery Pack,2021-05-21,592,17
Battery Pack,2021-05-22,607,13
Battery Pack,2021-05-23,453,15
Battery Pack,2021-05-24,566,17
Battery Pack,2021-05-25,566,13
Battery Pack,2021-05-26,590,14
Battery Pack,2021-05-27,489,13
Battery Pack,2021-05-28,486,12
Battery Pack,2021-05-29,552,13
Battery Pack,2021-05-30,546,12
Battery Pack,2021-05-31,581,14
Battery Pack,2021-06-01,593,12
Battery Pack,2021-06-02,550,14
Battery Pack,2021-06-03,604,11
Battery Pack,2021-06-04,614,15
Battery Pack,2021-06-05,541,16
Battery Pack,2021-06-06,676,10
Battery Pack,2021-06-07,640,15
Battery Pack,2021-06-08,560,16
Battery Pack,2021-06-09,652,12
Battery Pack,2021-06-10,569,17
Battery Pack,2021-06-11,653,15
Battery Pack,2021-06-12,636,13
Battery Pack,2021-06-13,529,14
Battery Pack,2021-06-14,639,15
Battery Pack,2021-06-15,601,14
Battery Pack,2021-06-16,609,15
Battery Pack,2021-06-17,650,12
Battery Pack,2021-06-18,530,14
Battery Pack,2021-06-19,463,11
Battery Pack,2021-06-20,444,14
Battery Pack,2021-06-21,467,12
Battery Pack,2021-06-22,495,13
Battery Pack,2021-06-23,508,16
Battery Pack,2021-06-24,499,16
Battery Pack,2021-06-25,523,15
Battery Pack,2021-06-26,451,12
Battery Pack,2021-06-27,523,13
Battery Pack,2021-06-28,470,16
Battery Pack,2021-06-29,624,14
Battery Pack,2021-06-30,525,19
Battery Pack,2021-07-01,457,15
Battery Pack,2021-07-02,454,14
Battery Pack,2021-07-03,510,13
Battery Pack,2021-07-04,482,14
Battery Pack,2021-07-05,566,14
Battery Pack,2021-07-06,560,15
Battery Pack,2021-07-07,537,16
Battery Pack,2021-07-08,501,12
Battery Pack,2021-07-09,469,11
Battery Pack,2021-07-10,492,10
Battery Pack,2021-07-11,554,15
Battery Pack,2021-07-12,546,12
Battery Pack,2021-07-13,466,10
Battery Pack,2021-07-14,528,15
Battery Pack,2021-07-15,529,19
Battery Pack,2021-07-16,454,14
Battery Pack,2021-07-17,463,16
Battery Pack,2021-07-18,446,14
Battery Pack,2021-07-19,403,14
Battery Pack,2021-07-20,466,16
Battery Pack,2021-07-21,465,13
Battery Pack,2021-07-22,481,15
Battery Pack,2021-07-23,471,15
Battery Pack,2021-07-24,313,13
Battery Pack,2021-07-25,331,16
Battery Pack,2021-07-26,431,14
Battery Pack,2021-07-27,431,12
Battery Pack,2021-07-28,433,15
Battery Pack,2021-07-29,604,12
Battery Pack,2021-07-30,445,14
Battery Pack,2021-07-31,450,14
Battery Pack,2021-08-01,449,16
Battery Pack,2021-08-02,472,15
Battery Pack,2021-08-03,431,14
Battery Pack,2021-08-04,493,16
Battery Pack,2021-08-05,423,17
Battery Pack,2021-08-06,456,15
Battery Pack,2021-08-07,417,14
Battery Pack,2021-08-08,448,11
Battery Pack,2021-08-09,590,12
Battery Pack,2021-08-10,380,13
Battery Pack,2021-08-11,504,13
Battery Pack,2021-08-12,383,14
Battery Pack,2021-08-13,432,14
Battery Pack,2021-08-14,471,15
Battery Pack,2021-08-15,410,14
Battery Pack,2021-08-16,371,15
Battery Pack,2021-08-17,377,14
Battery Pack,2021-08-18,435,10
Battery Pack,2021-08-19,353,12
Battery Pack,2021-08-20,389,14
Battery Pack,2021-08-21,341,12
Battery Pack,2021-08-22,298,15
Battery Pack,2021-08-23,461,17
Battery Pack,2021-08-24,381,16
Battery Pack,2021-08-25,246,14
Battery Pack,2021-08-26,356,17
Battery Pack,2021-08-27,316,14
Battery Pack,2021-08-28,365,13
Battery Pack,2021-08-29,289,13
Battery Pack,2021-08-30,360,13
Battery Pack,2021-08-31,399,13
Battery Pack,2021-09-01,426,14
Battery Pack,2021-09-02,331,14
Battery Pack,2021-09-03,383,14
Battery Pack,2021-09-04,355,15
Battery Pack,2021-09-05,353,16
Battery Pack,2021-09-06,510,16
Battery Pack,2021-09-07,446,11
Battery Pack,2021-09-08,365,9
Battery Pack,2021-09-09,475,16
Battery Pack,2021-09-10,533,11
Battery Pack,2021-09-11,445,14
Battery Pack,2021-09-12,312,12
Battery Pack,2021-09-13,386,10
Battery Pack,2021-09-14,465,15
Battery Pack,2021-09-15,356,16
Battery Pack,2021-09-16,403,13
Battery Pack,2021-09-17,408,9
Battery Pack,2021-09-18,283,13
Battery Pack,2021-09-19,316,15
Battery Pack,2021-09-20,178,11
Battery Pack,2021-09-21,281,14
Battery Pack,2021-09-22,313,14
Battery Pack,2021-09-23,259,15
Battery Pack,2021-09-24,401,14
Battery Pack,2021-09-25,218,12
Battery Pack,2021-09-26,270,16
Battery Pack,2021-09-27,333,14
Battery Pack,2021-09-28,405,14
Battery Pack,2021-09-29,268,12
Battery Pack,2021-09-30,407,13
Battery Pack,2021-10-01,360,12
Battery Pack,2021-10-02,290,14
Battery Pack,2021-10-03,373,17
Battery Pack,2021-10-04,400,11
Battery Pack,2021-10-05,369,11
Battery Pack,2021-10-06,410,17
Battery Pack,2021-10-07,394,14
Battery Pack,2021-10-08,423,13
Battery Pack,2021-10-09,423,16
Battery Pack,2021-10-10,470,13
Battery Pack,2021-10-11,357,18
Battery Pack,2021-10-12,522,15
Battery Pack,2021-10-13,312,13
Battery Pack,2021-10-14,396,18
Battery Pack,2021-10-15,424,13
Battery Pack,2021-10-16,370,15
Battery Pack,2021-10-17,315,15
Battery Pack,2021-10-18,356,17
Battery Pack,2021-10-19,333,17
Battery Pack,2021-10-20,320,14
Battery Pack,2021-10-21,385,12
Battery Pack,2021-10-22,355,15
Battery Pack,2021-10-23,269,13
Battery Pack,2021-10-24,347,18
Battery Pack,2021-10-25,347,14
Battery Pack,2021-10-26,375,13
Battery Pack,2021-10-27,371,14
Battery Pack,2021-10-28,305,11
Battery Pack,2021-10-29,326,12
Battery Pack,2021-10-30,372,16
Battery Pack,2021-10-31,376,13
Battery Pack,2021-11-01,386,12
Battery Pack,2021-11-02,404,15
Battery Pack,2021-11-03,474,16
Battery Pack,2021-11-04,391,15
Battery Pack,2021-11-05,457,16
Battery Pack,2021-11-06,398,12
Battery Pack,2021-11-07,404,11
Battery Pack,2021-11-08,505,17
Battery Pack,2021-11-09,494,13
Battery Pack,2021-11-10,494,13
Battery Pack,2021-11-11,517,17
Battery Pack,2021-11-12,449,15
Battery Pack,2021-11-13,447,15
Battery Pack,2021-11-14,391,18
Battery Pack,2021-11-15,445,13
Battery Pack,2021-11-16,414,16
Battery Pack,2021-11-17,417,14
Battery Pack,2021-11-18,434,15
Battery Pack,2021-11-19,356,17
Battery Pack,2021-11-20,465,15
Battery Pack,2021-11-21,305,15
Battery Pack,2021-11-22,321,16
Battery Pack,2021-11-23,438,13
Battery Pack,2021-11-24,420,12
Battery Pack,2021-11-25,415,12
Battery Pack,2021-11-26,420,10
Battery Pack,2021-11-27,365,18
Battery Pack,2021-11-28,329,12
Battery Pack,2021-11-29,418,14
Battery Pack,2021-11-30,392,13
Battery Pack,2021-12-01,486,15
Battery Pack,2021-12-02,443,16
Battery Pack,2021-12-03,422,16
Battery Pack,2021-12-04,429,13
Battery Pack,2021-12-05,477,14
Battery Pack,2021-12-06,468,15
Battery Pack,2021-12-07,463,14
Battery Pack,2021-12-08,523,17
Battery Pack,2021-12-09,527,15
Battery Pack,2021-12-10,492,15
Battery Pack,2021-12-11,464,15
Battery Pack,2021-12-12,497,16
Battery Pack,2021-12-13,439,14
Battery Pack,2021-12-14,436,11
Battery Pack,2021-12-15,464,15
Battery Pack,2021-12-16,482,13
Battery Pack,2021-12-17,501,13
Battery Pack,2021-12-18,521,15
Battery Pack,2021-12-19,483,16
Battery Pack,2021-12-20,456,14
Battery Pack,2021-12-21,458,15
Battery Pack,2021-12-22,405,17
Battery Pack,2021-12-23,453,14
Battery Pack,2021-12-24,439,19
Battery Pack,2021-12-25,442,15
Battery Pack,2021-12-26,389,10
Battery Pack,2021-12-27,493,16
Battery Pack,2021-12-28,552,15
Battery Pack,2021-12-29,480,17
Battery Pack,2021-12-30,517,15
Battery Pack,2021-12-31,543,14
Battery Pack,2022-01-01,472,12
Battery Pack,2022-01-02,516,14
Battery Pack,2022-01-03,548,12
Battery Pack,2022-01-04,564,13
Battery Pack,2022-01-05,531,15
Battery Pack,2022-01-06,580,17
Battery Pack,2022-01-07,611,15
Battery Pack,2022-01-08,635,12
Battery Pack,2022-01-09,613,15
Battery Pack,2022-01-10,704,16
Battery Pack,2022-01-11,558,13
Battery Pack,2022-01-12,637,14
Battery Pack,2022-01-13,598,14
Battery Pack,2022-01-14,692,12
Battery Pack,2022-01-15,506,15
Battery Pack,2022-01-16,497,14
Battery Pack,2022-01-17,531,15
Battery Pack,2022-01-18,447,12
Battery Pack,2022-01-19,520,13
Battery Pack,2022-01-20,503,15
Battery Pack,2022-01-21,544,13
Battery Pack,2022-01-22,520,17
Battery Pack,2022-01-23,596,13
Battery Pack,2022-01-24,581,14
Battery Pack,2022-01-25,508,16
Battery Pack,2022-01-26,498,11
Battery Pack,2022-01-27,574,10
Battery Pack,2022-01-28,493,11
Battery Pack,2022-01-29,631,17
Battery Pack,2022-01-30,610,13
Battery Pack,2022-01-31,570,19
Battery Pack,2022-02-01,520,13
Battery Pack,2022-02-02,686,14
Battery Pack,2022-02-03,625,17
Battery Pack,2022-02-04,703,18
Battery Pack,2022-02-05,541,18
Battery Pack,2022-02-06,599,16
Battery Pack,2022-02-07,665,16
Battery Pack,2022-02-08,671,15
Battery Pack,2022-02-09,647,16
Battery Pack,2022-02-10,701,13
Battery Pack,2022-02-11,614,12
Battery Pack,2022-02-12,626,14
Battery Pack,2022-02-13,633,14
Battery Pack,2022-02-14,675,13
Battery Pack,2022-02-15,677,15
Battery Pack,2022-02-16,577,16
Battery Pack,2022-02-17,548,14
Battery Pack,2022-02-18,681,17
Battery Pack,2022-02-19,597,12
Battery Pack,2022-02-20,537,14
Battery Pack,2022-02-21,678,13
Battery Pack,2022-02-22,603,10
Battery Pack,2022-02-23,656,14
Battery Pack,2022-02-24,602,14
Battery Pack,2022-02-25,705,17
Battery Pack,2022-02-26,666,15
Battery Pack,2022-02-27,573,12
Battery Pack,2022-02-28,673,18
Battery Pack,2022-03-01,667,16
Battery Pack,2022-03-02,714,15
Battery Pack,2022-03-03,609,14
Battery Pack,2022-03-04,704,12
Battery Pack,2022-03-05,703,13
Battery Pack,2022-03-06,573,16
Battery Pack,2022-03-07,641,18
Battery Pack,2022-03-08,606,17
Battery Pack,2022-03-09,700,13
Battery Pack,2022-03-10,753,12
Battery Pack,2022-03-11,794,14
Battery Pack,2022-03-12,692,10
Battery Pack,2022-03-13,767,15
Battery Pack,2022-03-14,642,14
Battery Pack,2022-03-15,619,13
Battery Pack,2022-03-16,694,11
Battery Pack,2022-03-17,707,15
Battery Pack,2022-03-18,677,13
Battery Pack,2022-03-19,535,12
Battery Pack,2022-03-20,625,8
Battery Pack,2022-03-21,586,14
Battery Pack,2022-03-22,677,18
Battery Pack,2022-03-23,655,17
Battery Pack,2022-03-24,586,13
Battery Pack,2022-03-25,604,13
Battery Pack,2022-03-26,547,15
Battery Pack,2022-03-27,598,12
Battery Pack,2022-03-28,682,15
Battery Pack,2022-03-29,591,16
Battery Pack,2022-03-30,672,16
Battery Pack,2022-03-31,629,14
Battery Pack,2022-04-01,626,14
Battery Pack,2022-04-02,640,12
Battery Pack,2022-04-03,604,12
Battery Pack,2022-04-04,668,14
Battery Pack,2022-04-05,646,15
Battery Pack,2022-04-06,812,16
Battery Pack,2022-04-07,723,12
Battery Pack,2022-04-08,691,17
Battery Pack,2022-04-09,710,13
Battery Pack,2022-04-10,695,14
Battery Pack,2022-04-11,718,13
Battery Pack,2022-04-12,757,9
Battery Pack,2022-04-13,759,16
Battery Pack,2022-04-14,688,15
Battery Pack,2022-04-15,677,13
Battery Pack,2022-04-16,652,14
Battery Pack,2022-04-17,541,15
Battery Pack,2022-04-18,599,11
Battery Pack,2022-04-19,732,13
Battery Pack,2022-04-20,736,16
Battery Pack,2022-04-21,632,11
Battery Pack,2022-04-22,665,15
Battery Pack,2022-04-23,615,11
Battery Pack,2022-04-24,749,15
Battery Pack,2022-04-25,678,14
Battery Pack,2022-04-26,615,11
Battery Pack,2022-04-27,575,16
Battery Pack,2022-04-28,546,13
Battery Pack,2022-04-29,641,12
Battery Pack,2022-04-30,570,14
Battery Pack,2022-05-01,544,16
Battery Pack,2022-05-02,622,12
Battery Pack,2022-05-03,609,14
Battery Pack,2022-05-04,757,15
Battery Pack,2022-05-05,725,15
Battery Pack,2022-05-06,688,14
Battery Pack,2022-05-07,739,13
Battery Pack,2022-05-08,673,12
Battery Pack,2022-05-09,659,14
Battery Pack,2022-05-10,780,12
Battery Pack,2022-05-11,729,8
Battery Pack,2022-05-12,647,15
Battery Pack,2022-05-13,684,16
Battery Pack,2022-05-14,612,9
Battery Pack,2022-05-15,578,12
Battery Pack,2022-05-16,713,15
Battery Pack,2022-05-17,750,18
Battery Pack,2022-05-18,573,14
Battery Pack,2022-05-19,659,13
Battery Pack,2022-05-20,587,14
Battery Pack,2022-05-21,554,17
Battery Pack,2022-05-22,539,13
Battery Pack,2022-05-23,547,12
Battery Pack,2022-05-24,586,13
Battery Pack,2022-05-25,537,12
Battery Pack,2022-05-26,589,14
Battery Pack,2022-05-27,573,17
Battery Pack,2022-05-28,535,15
Battery Pack,2022-05-29,505,13
Battery Pack,2022-05-30,556,13
Battery Pack,2022-05-31,629,11
Battery Pack,2022-06-01,624,16
Battery Pack,2022-06-02,558,14
Battery Pack,2022-06-03,620,14
Battery Pack,2022-06-04,630,20
Battery Pack,2022-06-05,517,15
Battery Pack,2022-06-06,663,12
Battery Pack,2022-06-07,608,13
Battery Pack,2022-06-08,672,16
Battery Pack,2022-06-09,606,14
Battery Pack,2022-06-10,553,11
Battery Pack,2022-06-11,529,16
Battery Pack,2022-06-12,607,13
Battery Pack,2022-06-13,640,18
Battery Pack,2022-06-14,573,16
Battery Pack,2022-06-15,640,13
Battery Pack,2022-06-16,513,17
Battery Pack,2022-06-17,580,14
Battery Pack,2022-06-18,480,16
Battery Pack,2022-06-19,496,15
Battery Pack,2022-06-20,549,12
Battery Pack,2022-06-21,492,13
Battery Pack,2022-06-22,506,16
Battery Pack,2022-06-23,568,13
Battery Pack,2022-06-24,483,13
Battery Pack,2022-06-25,519,12
Battery Pack,2022-06-26,419,15
Battery Pack,2022-06-27,532,18
Battery Pack,2022-06-28,580,12
Battery Pack,2022-06-29,388,14
Battery Pack,2022-06-30,477,17
Battery Pack,2022-07-01,552,14
Battery Pack,2022-07-02,491,15
Battery Pack,2022-07-03,527,12
Battery Pack,2022-07-04,516,15
Battery Pack,2022-07-05,558,14
Battery Pack,2022-07-06,552,16
Battery Pack,2022-07-07,623,16
Battery Pack,2022-07-08,581,19
Battery Pack,2022-07-09,557,15
Battery Pack,2022-07-10,519,15
Battery Pack,2022-07-11,542,14
Battery Pack,2022-07-12,541,13
Battery Pack,2022-07-13,575,15
Battery Pack,2022-07-14,526,13
Battery Pack,2022-07-15,552,14
Battery Pack,2022-07-16,600,17
Battery Pack,2022-07-17,527,12
Battery Pack,2022-07-18,485,16
Battery Pack,2022-07-19,548,17
Battery Pack,2022-07-20,456,14
Battery Pack,2022-07-21,363,10
Battery Pack,2022-07-22,404,13
Battery Pack,2022-07-23,322,17
Battery Pack,2022-07-24,391,14
Battery Pack,2022-07-25,435,12
Battery Pack,2022-07-26,515,13
Battery Pack,2022-07-27,447,16
Battery Pack,2022-07-28,421,15
Battery Pack,2022-07-29,477,14
Battery Pack,2022-07-30,300,13
Battery Pack,2022-07-31,428,13
Battery Pack,2022-08-01,493,12
Battery Pack,2022-08-02,388,17
Battery Pack,2022-08-03,527,13
Battery Pack,2022-08-04,495,16
Battery Pack,2022-08-05,464,17
Battery Pack,2022-08-06,493,16
Battery Pack,2022-08-07,579,13
Battery Pack,2022-08-08,508,15
Battery Pack,2022-08-09,512,14
Battery Pack,2022-08-10,476,12
Battery Pack,2022-08-11,453,15
Battery Pack,2022-08-12,532,12
Battery Pack,2022-08-13,410,16
Battery Pack,2022-08-14,448,13
Battery Pack,2022-08-15,440,14
Battery Pack,2022-08-16,477,15
Battery Pack,2022-08-17,458,13
Battery Pack,2022-08-18,481,15
Battery Pack,2022-08-19,392,13
Battery Pack,2022-08-20,362,16
Battery Pack,2022-08-21,317,11
Battery Pack,2022-08-22,365,14
Battery Pack,2022-08-23,399,18
Battery Pack,2022-08-24,413,12
Battery Pack,2022-08-25,326,13
Battery Pack,2022-08-26,415,15
Battery Pack,2022-08-27,411,14
Battery Pack,2022-08-28,367,15
Battery Pack,2022-08-29,475,15
Battery Pack,2022-08-30,350,15
Battery Pack,2022-08-31,334,16
Battery Pack,2022-09-01,316,15
Battery Pack,2022-09-02,489,14
Battery Pack,2022-09-03,426,15
Battery Pack,2022-09-04,399,18
Battery Pack,2022-09-05,453,14
Battery Pack,2022-09-06,389,12
Battery Pack,2022-09-07,572,16
Battery Pack,2022-09-08,459,14
Battery Pack,2022-09-09,459,10
Battery Pack,2022-09-10,459,16
Battery Pack,2022-09-11,443,13
Battery Pack,2022-09-12,455,14
Battery Pack,2022-09-13,398,15
Battery Pack,2022-09-14,452,14
Battery Pack,2022-09-15,513,15
Battery Pack,2022-09-16,476,13
Battery Pack,2022-09-17,447,15
Battery Pack,2022-09-18,331,13
Battery Pack,2022-09-19,327,15
Battery Pack,2022-09-20,361,15
Battery Pack,2022-09-21,362,12
Battery Pack,2022-09-22,407,16
Battery Pack,2022-09-23,263,13
Battery Pack,2022-09-24,392,16
Battery Pack,2022-09-25,307,15
Battery Pack,2022-09-26,325,18
Battery Pack,2022-09-27,300,14
Battery Pack,2022-09-28,273,13
Battery Pack,2022-09-29,404,14
Battery Pack,2022-09-30,376,13
Battery Pack,2022-10-01,287,16
Battery Pack,2022-10-02,297,11
Battery Pack,2022-10-03,385,12
Battery Pack,2022-10-04,496,12
Battery Pack,2022-10-05,409,16
Battery Pack,2022-10-06,355,17
Battery Pack,2022-10-07,424,14
Battery Pack,2022-10-08,398,14
Battery Pack,2022-10-09,280,14
Battery Pack,2022-10-10,443,16
Battery Pack,2022-10-11,433,12
Battery Pack,2022-10-12,476,14
Battery Pack,2022-10-13,529,16
Battery Pack,2022-10-14,486,15
Battery Pack,2022-10-15,379,14
Battery Pack,2022-10-16,328,16
Battery Pack,2022-10-17,532,9
Battery Pack,2022-10-18,397,15
Battery Pack,2022-10-19,386,13
Battery Pack,2022-10-20,375,10
Battery Pack,2022-10-21,379,15
Battery Pack,2022-10-22,326,17
Battery Pack,2022-10-23,300,14
Battery Pack,2022-10-24,329,16
Battery Pack,2022-10-25,355,17
Battery Pack,2022-10-26,332,17
Battery Pack,2022-10-27,327,17
Battery Pack,2022-10-28,375,15
Battery Pack,2022-10-29,334,14
Battery Pack,2022-10-30,432,11
Battery Pack,2022-10-31,265,14
Battery Pack,2022-11-01,463,12
Battery Pack,2022-11-02,483,18
Battery Pack,2022-11-03,328,14
Battery Pack,2022-11-04,426,14
Battery Pack,2022-11-05,404,15
Battery Pack,2022-11-06,361,14
Battery Pack,2022-11-07,430,17
Battery Pack,2022-11-08,418,13
Battery Pack,2022-11-09,565,14
Battery Pack,2022-11-10,525,13
Battery Pack,2022-11-11,541,11
Battery Pack,2022-11-12,480,13
Battery Pack,2022-11-13,383,14
Battery Pack,2022-11-14,437,13
Battery Pack,2022-11-15,480,13
Battery Pack,2022-11-16,387,11
Battery Pack,2022-11-17,475,14
Battery Pack,2022-11-18,419,11
Battery Pack,2022-11-19,375,16
Battery Pack,2022-11-20,422,14
Battery Pack,2022-11-21,433,11
Battery Pack,2022-11-22,389,13
Battery Pack,2022-11-23,463,12
Battery Pack,2022-11-24,351,15
Battery Pack,2022-11-25,438,17
Battery Pack,2022-11-26,412,10
Battery Pack,2022-11-27,373,14
Battery Pack,2022-11-28,443,14
Battery Pack,2022-11-29,374,15
Battery Pack,2022-11-30,494,14
Battery Pack,2022-12-01,450,12
Battery Pack,2022-12-02,446,13
Battery Pack,2022-12-03,507,12
Battery Pack,2022-12-04,432,16
Battery Pack,2022-12-05,438,14
Battery Pack,2022-12-06,441,18
Battery Pack,2022-12-07,557,14
Battery Pack,2022-12-08,470,13
Battery Pack,2022-12-09,627,11
Battery Pack,2022-12-10,408,10
Battery Pack,2022-12-11,597,11
Battery Pack,2022-12-12,552,15
Battery Pack,2022-12-13,533,15
Battery Pack,2022-12-14,506,11
Battery Pack,2022-12-15,547,16
Battery Pack,2022-12-16,518,13
Battery Pack,2022-12-17,537,14
Battery Pack,2022-12-18,480,17
Battery Pack,2022-12-19,505,16
Battery Pack,2022-12-20,472,13
Battery Pack,2022-12-21,482,12
Battery Pack,2022-12-22,496,10
Battery Pack,2022-12-23,393,13
Battery Pack,2022-12-24,381,14
Battery Pack,2022-12-25,487,12
Battery Pack,2022-12-26,493,14
Battery Pack,2022-12-27,481,14
Battery Pack,2022-12-28,499,14
Battery Pack,2022-12-29,525,13
Battery Pack,2022-12-30,492,14
Battery Pack,2022-12-31,462,15
Battery Pack,2023-01-01,523,12
Battery Pack,2023-01-02,508,17
Battery Pack,2023-01-03,590,14
Battery Pack,2023-01-04,496,14
Battery Pack,2023-01-05,644,15
Battery Pack,2023-01-06,626,14
Battery Pack,2023-01-07,593,16
Battery Pack,2023-01-08,635,15
Battery Pack,2023-01-09,703,13
Battery Pack,2023-01-10,672,15
Battery Pack,2023-01-11,529,12
Battery Pack,2023-01-12,555,14
Battery Pack,2023-01-13,584,14
Battery Pack,2023-01-14,581,14
Battery Pack,2023-01-15,599,14
Battery Pack,2023-01-16,559,10
Battery Pack,2023-01-17,597,13
Battery Pack,2023-01-18,542,14
Battery Pack,2023-01-19,542,14
Battery Pack,2023-01-20,497,12
Battery Pack,2023-01-21,486,17
Battery Pack,2023-01-22,461,12
Battery Pack,2023-01-23,509,16
Battery Pack,2023-01-24,611,15
Battery Pack,2023-01-25,514,13
Battery Pack,2023-01-26,698,18
Battery Pack,2023-01-27,598,12
Battery Pack,2023-01-28,561,16
Battery Pack,2023-01-29,519,16
Battery Pack,2023-01-30,638,13
Battery Pack,2023-01-31,587,17
Battery Pack,2023-02-01,634,13
Battery Pack,2023-02-02,768,15
Battery Pack,2023-02-03,648,15
Battery Pack,2023-02-04,691,14
Battery Pack,2023-02-05,608,16
Battery Pack,2023-02-06,680,16
Battery Pack,2023-02-07,777,11
Battery Pack,2023-02-08,661,17
Battery Pack,2023-02-09,785,11
Battery Pack,2023-02-10,730,16
Battery Pack,2023-02-11,635,16
Battery Pack,2023-02-12,691,12
Battery Pack,2023-02-13,732,13
Battery Pack,2023-02-14,708,12
Battery Pack,2023-02-15,590,14
